ori,des,path,len,primary,secondary,tertiary,residential,unclassified
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18,10,6,2,0,0
401,393,401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,18,10,6,2,0,0
401,155,401_285_199_207_146_147_149_225_152_153_155,11,11,0,0,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
177,89,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23_73_22_329_89,20,14,6,0,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
177,400,177_178_188_189_210_201_233_243_236_400,10,8,0,1,1,0
201,240,201_233_243_237_239_240,6,5,0,0,1,0
194,240,194_181_313_184_178_188_189_210_201_233_243_237_239_240,14,9,3,1,1,0
184,51,184_178_188_189_210_201_233_244_34_33_31_358_40_49_365_47_44_51,18,13,4,1,0,0
47,13,47_45_42_38_36_247_13,7,0,1,6,0,0
45,13,45_42_38_36_247_13,6,0,0,6,0,0
41,8,41_378_382_353_1_127_409_71_26_342_8,11,4,7,0,0,0
41,8,41_378_382_353_1_127_409_71_26_342_8,11,4,7,0,0,0
378,8,378_382_353_1_127_409_71_26_342_8,10,3,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
132,247,132_134_52_361_0_367_352_247,8,5,2,1,0,0
331,137,331_53_61_62_68_321_402_137,8,1,0,2,5,0
52,13,52_361_0_367_352_247_13,7,5,0,2,0,0
52,51,52_361_0_366_362_354_51,7,7,0,0,0,0
52,13,52_361_0_367_352_247_13,7,5,0,2,0,0
361,13,361_0_367_352_247_13,6,4,0,2,0,0
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12,4,7,1,0,0
339,8,339_362_353_1_127_409_71_26_342_8,10,3,7,0,0,0
382,8,382_353_1_127_409_71_26_342_8,9,2,7,0,0,0
45,26,45_41_378_382_353_1_127_409_71_26,10,4,5,1,0,0
184,240,184_178_188_189_210_201_233_243_237_239_240,11,9,0,1,1,0
73,323,73_22_329_89_279_323,6,0,5,0,1,0
73,323,73_22_329_89_279_323,6,0,5,0,1,0
73,323,73_22_329_89_279_323,6,0,5,0,1,0
23,323,23_73_22_329_89_279_323,7,0,6,0,1,0
24,404,24_350_311_79_81_117_300_389_388_404,10,10,0,0,0,0
81,404,81_117_300_389_388_404,6,6,0,0,0,0
350,404,350_311_79_81_117_300_389_388_404,9,9,0,0,0,0
73,323,73_22_329_89_279_323,6,0,5,0,1,0
